Name,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,PIT,2011,10,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2004,10,2,5,,16,8,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2005,10,8,11,,53,32,363,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2006,16,4,28,,86,60,683,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2007,16,4,4,1,104,50,600,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2008,9,1,18,,42,24,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,SF,2009,15,,,,5,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beasley | Cole,DAL,2012,10,,,,24,15,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellamy | Ronald,MIA,2004,1,,,,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin | Travis,CLE,2012,14,6,66,,37,18,298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benn | Arrelious,TB,2010,15,6,35,,38,25,395,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benn | Arrelious,TBB,2011,14,5,-10,,51,30,441,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benn | Arrelious,TBB,2012,8,3,16,,6,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Drew,STL,2007,14,,,,72,33,375,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Drew,STL,2008,1,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Drew,TEN,2004,16,1,12,,143,80,1247,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Drew,TEN,2005,13,1,3,,109,58,738,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Drew,TEN,2006,16,,,,99,45,737,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Earl,CHI,2008,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Earl,CHI,2009,16,,,,88,54,717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Earl,CHI,2010,14,2,9,,70,46,561,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Earl,CHI,2011,11,,,,43,24,381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett | Earl,CHI,2012,12,,,,49,29,375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin | Eddie,CHI,2005,1,,,,4,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin | Eddie,TEN,2004,15,,,,45,20,278,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,CHI,2004,15,8,28,,44,15,225,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,CHI,2005,8,2,31,,26,13,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,CHI,2006,15,2,5,,106,51,775,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,CHI,2007,16,,,,128,71,951,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,MIN,2008,16,4,26,,95,48,964,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,MIN,2009,16,,,,92,55,618,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,MIN,2010,14,1,-8,,54,28,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrian | Bernard,MIN,2011,5,,,,23,7,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess | Davone,MIA,2008,16,1,13,,75,54,554,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess | Davone,MIA,2009,16,2,11,,113,76,758,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess | Davone,MIA,2010,16,2,-3,,125,79,820,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess | Davone,MIA,2011,16,2,9,,85,51,537,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bess | Davone,MIA,2012,13,,,,105,61,778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddle | Taye,CAR,2006,2,,,,4,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binns | Armon,CIN,2012,11,,,,40,24,277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackmon | Justin,JAC,2012,16,2,23,,132,64,865,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodiford | Shaun,GB,2007,6,,,,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerigter | Marc,KC,2005,6,,,,17,8,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2004,10,1,3,,109,56,623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2005,14,12,45,,176,102,1398,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2006,16,5,28,,148,83,1203,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2007,12,1,14,,99,71,853,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2008,12,9,67,,126,89,1038,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,ARI,2009,15,3,12,1,127,84,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,BAL,2010,16,2,2,,109,64,837,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,BAL,2011,14,,,,106,57,887,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldin | Anquan,BAL,2012,15,1,3,,112,65,921,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,ATL,2009,16,1,7,,32,16,181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,CHI,2008,13,1,3,,49,14,211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,MIA,2004,15,1,-8,,107,50,638,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,MIA,2005,14,,,,87,39,686,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,MIA,2006,14,3,19,,92,55,747,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booker | Marty,MIA,2007,15,2,12,,105,50,556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston | David,MIA,2005,5,,,,10,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KC,2007,16,,,,117,70,995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KC,2008,16,,,,157,86,1022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KC,2009,11,,,,87,47,589,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KC,2010,16,1,4,,133,72,1162,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KCC,2011,16,1,12,,142,81,1159,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe | Dwayne,KCC,2012,13,,,,114,59,801,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford | Corey,DET,2006,9,,,,25,14,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford | Corey,HOU,2004,14,,,,57,27,399,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford | Corey,HOU,2005,15,1,-2,,62,34,436,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley | Mark,CHI,2005,7,,,,37,18,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley | Mark,CHI,2006,7,,,,23,16,300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley | Mark,CHI,2007,15,,,,17,6,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley | Mark,CHI,2008,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley | Mark,KC,2009,13,2,20,,57,24,320,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,NE,2004,9,,,,54,35,454,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,NE,2005,16,,,,127,78,998,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,NEP,2011,15,,,,87,51,702,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,NEP,2012,10,,,,29,16,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,SEA,2006,14,4,30,,108,53,725,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,SEA,2007,11,,,,85,49,661,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,SEA,2008,8,,,,59,30,412,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,SEA,2009,14,1,-8,,79,45,437,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch | Deion,SEA,2010,15,,,,92,61,818,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazill | LaVon,IND,2012,15,,,,24,11,186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,ARI,2007,16,2,8,,14,8,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,ARI,2008,16,2,8,,113,77,1006,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,ARI,2009,15,2,44,,82,55,712,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,ARI,2010,13,3,35,,87,47,718,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,KCC,2011,16,1,25,,98,61,785,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaston | Steve,KCC,2012,10,,,,15,7,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe | Dezmon,TB,2010,2,,,,7,6,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe | Dezmon,TBB,2011,16,,,,51,35,387,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe | Dezmon,WAS,2012,7,1,1,,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britt | Kenny,TEN,2009,16,,,,75,42,701,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britt | Kenny,TEN,2010,12,,,,73,42,775,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britt | Kenny,TEN,2011,3,,,,26,17,289,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britt | Kenny,TEN,2012,14,,,,90,45,589,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks | Chris,IND,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussard | John,JAC,2007,8,,,,12,4,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Antonio,PIT,2010,9,,,,19,16,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Antonio,PIT,2011,16,7,41,,124,69,1108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Antonio,PIT,2012,13,7,24,,106,66,787,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Antonio,WAS,2005,2,2,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Mike,JAC,2012,2,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Reggie,PHI,2005,14,1,5,,79,43,571,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Reggie,PHI,2006,15,3,24,1,97,47,836,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Reggie,PHI,2007,16,5,36,,111,61,780,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Reggie,PHI,2008,10,1,6,,34,18,252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Reggie,PHI,2009,14,1,-3,,24,9,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Tim,TB,2004,10,,,,30,24,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Troy,NE,2004,11,,,,30,17,184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Troy,NE,2005,12,,,,61,39,466,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Troy,NE,2006,15,1,16,,79,44,386,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown | Vincent,SDC,2011,14,,,,40,19,329,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broyles | Ryan,DET,2012,10,,,,32,22,310,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,SF,2007,14,2,,,101,55,733,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,SF,2008,16,1,-3,,108,61,835,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,SF,2009,10,1,-8,,49,21,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,STL,2004,16,,,,145,89,1292,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,STL,2005,11,,,,75,36,525,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce | Isaac,STL,2006,16,,,,128,74,1098,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,CLE,2004,9,,,,68,40,520,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,CLE,2005,16,1,3,,126,69,1009,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,DAL,2004,6,,,,28,18,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,SF,2006,14,,,,95,41,747,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,TB,2008,16,2,22,,137,83,1248,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Antonio,TB,2009,13,,,,86,39,600,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Dez,DAL,2010,12,1,,,72,45,561,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Dez,DAL,2011,15,1,5,,103,63,928,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
